委托日期,id,买卖方向,委托数量,委托日期,开平仓,证券代码
2020-06-01 09:38:39.000,234,卖,100,2020-06-01 09:38:39.000,开仓,600037
2020-06-01 09:38:39.000,235,买,100,2020-06-01 09:38:39.000,开仓,600037
2020-06-01 09:38:39.000,236,买,100,2020-06-01 09:38:39.000,开仓,600167
2020-06-01 09:38:39.000,237,买,100,2020-06-01 09:38:39.000,平仓,600167
2020-06-01 09:38:39.000,238,买,100,2020-06-01 09:38:39.000,开仓,600260
2020-06-01 09:38:39.000,239,买,100,2020-06-01 09:38:39.000,平仓,600260
2020-06-01 09:38:39.000,240,买,100,2020-06-01 09:38:39.000,平仓,600315
2020-06-01 09:38:42.000,241,卖,100,2020-06-01 09:38:42.000,开仓,600037
2020-06-01 09:38:42.000,242,买,100,2020-06-01 09:38:42.000,开仓,600037
2020-06-01 09:38:42.000,243,买,100,2020-06-01 09:38:42.000,开仓,600260
2020-06-01 09:38:42.000,244,买,100,2020-06-01 09:38:42.000,平仓,600315
2020-06-01 09:38:45.000,245,卖,100,2020-06-01 09:38:45.000,开仓,600037
2020-06-01 09:38:45.000,246,买,100,2020-06-01 09:38:45.000,开仓,600037
2020-06-01 09:38:45.000,247,买,100,2020-06-01 09:38:45.000,开仓,600259
2020-06-01 09:38:45.000,248,买,100,2020-06-01 09:38:45.000,平仓,600259
2020-06-01 09:38:48.000,249,卖,100,2020-06-01 09:38:48.000,开仓,600037
2020-06-01 09:38:48.000,250,买,100,2020-06-01 09:38:48.000,开仓,600037
2020-06-01 09:38:51.000,251,卖,100,2020-06-01 09:38:51.000,开仓,600037
2020-06-01 09:38:51.000,252,买,100,2020-06-01 09:38:51.000,开仓,600037
2020-06-01 09:38:51.000,253,买,100,2020-06-01 09:38:51.000,平仓,600060
2020-06-01 09:38:51.000,254,卖,100,2020-06-01 09:38:51.000,开仓,600079
2020-06-01 09:38:51.000,255,买,100,2020-06-01 09:38:51.000,开仓,600120
2020-06-01 09:38:51.000,256,卖,100,2020-06-01 09:38:51.000,平仓,600126
2020-06-01 09:38:54.000,257,卖,100,2020-06-01 09:38:54.000,开仓,600037
2020-06-01 09:38:54.000,258,买,100,2020-06-01 09:38:54.000,开仓,600037
2020-06-01 09:38:54.000,259,卖,100,2020-06-01 09:38:54.000,开仓,600064
2020-06-01 09:38:54.000,260,买,100,2020-06-01 09:38:54.000,平仓,600132
2020-06-01 09:38:54.000,261,买,100,2020-06-01 09:38:54.000,平仓,600259
2020-06-01 09:38:57.000,262,卖,100,2020-06-01 09:38:57.000,开仓,600037
2020-06-01 09:38:57.000,263,买,100,2020-06-01 09:38:57.000,开仓,600037
2020-06-01 09:38:57.000,264,卖,100,2020-06-01 09:38:57.000,开仓,600064
2020-06-01 09:38:57.000,265,买,100,2020-06-01 09:38:57.000,平仓,600216
2020-06-01 09:39:00.000,266,卖,100,2020-06-01 09:39:00.000,开仓,600037
2020-06-01 09:39:00.000,267,买,100,2020-06-01 09:39:00.000,开仓,600037
2020-06-01 09:39:00.000,268,买,100,2020-06-01 09:39:00.000,开仓,600260
2020-06-01 09:39:03.000,269,卖,100,2020-06-01 09:39:03.000,开仓,600037
2020-06-01 09:39:03.000,270,买,100,2020-06-01 09:39:03.000,开仓,600037
2020-06-01 09:39:03.000,271,卖,100,2020-06-01 09:39:03.000,开仓,600167
2020-06-01 09:39:03.000,272,卖,100,2020-06-01 09:39:03.000,平仓,600167
2020-06-01 09:39:03.000,273,卖,100,2020-06-01 09:39:03.000,开仓,600201
2020-06-01 09:39:06.000,274,卖,100,2020-06-01 09:39:06.000,开仓,600037
2020-06-01 09:39:06.000,275,买,100,2020-06-01 09:39:06.000,开仓,600037
2020-06-01 09:39:09.000,276,卖,100,2020-06-01 09:39:09.000,开仓,600037
2020-06-01 09:39:09.000,277,买,100,2020-06-01 09:39:09.000,开仓,600037
2020-06-01 09:39:09.000,278,买,100,2020-06-01 09:39:09.000,平仓,600060
2020-06-01 09:39:09.000,279,卖,100,2020-06-01 09:39:09.000,开仓,600064
2020-06-01 09:39:12.000,280,卖,100,2020-06-01 09:39:12.000,开仓,600037
2020-06-01 09:39:12.000,281,买,100,2020-06-01 09:39:12.000,开仓,600037
2020-06-01 09:39:12.000,282,卖,100,2020-06-01 09:39:12.000,开仓,600161
2020-06-01 09:39:15.000,283,卖,100,2020-06-01 09:39:15.000,开仓,600037
2020-06-01 09:39:15.000,284,买,100,2020-06-01 09:39:15.000,开仓,600037
2020-06-01 09:39:15.000,285,买,100,2020-06-01 09:39:15.000,平仓,600056
2020-06-01 09:39:15.000,286,卖,100,2020-06-01 09:39:15.000,开仓,600064
2020-06-01 09:39:15.000,287,买,100,2020-06-01 09:39:15.000,开仓,600259
2020-06-01 09:39:15.000,288,买,100,2020-06-01 09:39:15.000,平仓,600315
2020-06-01 09:39:18.000,289,卖,100,2020-06-01 09:39:18.000,开仓,600037
2020-06-01 09:39:18.000,290,买,100,2020-06-01 09:39:18.000,开仓,600037
2020-06-01 09:39:18.000,291,卖,100,2020-06-01 09:39:18.000,开仓,600064
2020-06-01 09:39:18.000,292,买,100,2020-06-01 09:39:18.000,开仓,600273
2020-06-01 09:39:21.000,293,卖,100,2020-06-01 09:39:21.000,开仓,600037
2020-06-01 09:39:21.000,294,买,100,2020-06-01 09:39:21.000,开仓,600037
2020-06-01 09:39:21.000,295,买,100,2020-06-01 09:39:21.000,开仓,600201
2020-06-01 09:39:21.000,296,买,100,2020-06-01 09:39:21.000,平仓,600201
2020-06-01 09:39:24.000,297,卖,100,2020-06-01 09:39:24.000,开仓,600037
2020-06-01 09:39:24.000,298,买,100,2020-06-01 09:39:24.000,开仓,600037
2020-06-01 09:39:24.000,299,买,100,2020-06-01 09:39:24.000,平仓,600060
2020-06-01 09:39:27.000,300,卖,100,2020-06-01 09:39:27.000,开仓,600037
2020-06-01 09:39:27.000,301,买,100,2020-06-01 09:39:27.000,开仓,600037
2020-06-01 09:39:30.000,302,卖,100,2020-06-01 09:39:30.000,开仓,600037
2020-06-01 09:39:30.000,303,买,100,2020-06-01 09:39:30.000,开仓,600037
2020-06-01 09:39:30.000,304,买,100,2020-06-01 09:39:30.000,开仓,600201
2020-06-01 09:39:30.000,305,卖,100,2020-06-01 09:39:30.000,开仓,600291
2020-06-01 09:39:33.000,306,卖,100,2020-06-01 09:39:33.000,开仓,600037
2020-06-01 09:39:33.000,307,买,100,2020-06-01 09:39:33.000,开仓,600037
2020-06-01 09:39:33.000,308,买,100,2020-06-01 09:39:33.000,开仓,600153
2020-06-01 09:39:33.000,309,买,100,2020-06-01 09:39:33.000,平仓,600167
2020-06-01 09:39:33.000,310,卖,100,2020-06-01 09:39:33.000,平仓,600260
2020-06-01 09:39:33.000,311,买,100,2020-06-01 09:39:33.000,平仓,600315
2020-06-01 09:39:36.000,312,卖,100,2020-06-01 09:39:36.000,开仓,600037
2020-06-01 09:39:36.000,313,买,100,2020-06-01 09:39:36.000,开仓,600037
2020-06-01 09:39:36.000,314,买,100,2020-06-01 09:39:36.000,开仓,600053
2020-06-01 09:39:36.000,315,买,100,2020-06-01 09:39:36.000,平仓,600053
2020-06-01 09:39:36.000,316,买,100,2020-06-01 09:39:36.000,开仓,600079
2020-06-01 09:39:36.000,317,买,100,2020-06-01 09:39:36.000,平仓,600079
