,000008,600167,600195,600216
2020-06-02 09:46:09.000,3.01,15.17,14.78,16.63
2020-06-02 09:46:12.000,3.01,15.17,14.78,16.63
2020-06-02 09:46:15.000,3.01,15.17,14.78,16.63
2020-06-02 09:46:18.000,3.01,15.17,14.78,16.63
2020-06-02 09:46:21.000,3.01,15.17,14.78,16.63
2020-06-02 09:46:24.000,3.01,15.17,14.78,16.63
2020-06-02 09:46:27.000,3.01,15.17,14.78,16.63
2020-06-02 09:46:30.000,3.01,15.17,14.78,16.63
2020-06-02 09:46:33.000,3.01,15.17,14.78,16.63
2020-06-02 09:46:36.000,3.01,15.17,14.78,16.63
2020-06-02 09:46:39.000,3.01,15.17,14.78,16.63
2020-06-02 09:46:42.000,3.01,15.17,14.78,16.63
2020-06-02 09:46:45.000,3.01,15.17,14.78,16.63
2020-06-02 09:46:48.000,3.01,15.17,14.78,16.63
2020-06-02 09:46:51.000,3.01,15.17,14.78,16.63
2020-06-02 09:46:54.000,3.01,15.17,14.78,16.63
2020-06-02 09:46:57.000,3.01,15.17,14.78,16.63
2020-06-02 09:47:00.000,3.01,15.17,14.78,16.63
2020-06-02 09:47:03.000,3.01,15.17,14.78,16.63
2020-06-02 09:47:06.000,3.01,15.17,14.78,16.63
2020-06-02 09:47:09.000,3.01,15.17,14.78,16.63
2020-06-02 09:47:12.000,3.01,15.17,14.78,16.63
2020-06-02 09:47:15.000,3.01,15.17,14.78,16.63
2020-06-02 09:47:18.000,3.01,15.17,14.78,16.63
2020-06-02 09:47:21.000,3.01,15.17,14.78,16.63
2020-06-02 09:47:24.000,3.01,15.17,14.78,16.63
2020-06-02 09:47:27.000,3.01,15.17,14.78,16.63
2020-06-02 09:47:30.000,3.01,15.17,14.78,16.63
2020-06-02 09:47:33.000,3.01,15.17,14.78,16.63
2020-06-02 09:47:36.000,3.01,15.17,14.78,16.63
2020-06-02 09:47:39.000,3.01,15.17,14.78,16.63
2020-06-02 09:47:42.000,3.01,15.17,14.78,16.63
2020-06-02 09:47:45.000,3.01,15.17,14.78,16.63
2020-06-02 09:47:48.000,3.01,15.17,14.78,16.63
2020-06-02 09:47:51.000,3.0,15.17,14.78,16.63
2020-06-02 09:47:54.000,3.0,15.17,14.78,16.63
2020-06-02 09:47:57.000,3.01,15.17,14.78,16.63
2020-06-02 09:48:00.000,3.01,15.17,14.78,16.63
2020-06-02 09:48:03.000,3.01,15.17,14.78,16.63
2020-06-02 09:48:06.000,3.0,15.17,14.78,16.63
2020-06-02 09:48:09.000,3.0,15.17,14.78,16.63
2020-06-02 09:48:12.000,3.0,15.17,14.78,16.63
2020-06-02 09:48:15.000,3.0,15.17,14.78,16.63
2020-06-02 09:48:18.000,3.0,15.17,14.78,16.63
2020-06-02 09:48:21.000,3.01,15.17,14.78,16.63
2020-06-02 09:48:24.000,3.01,15.17,14.78,16.63
2020-06-02 09:48:27.000,3.01,15.17,14.78,16.63
2020-06-02 09:48:30.000,3.01,15.17,14.78,16.63
2020-06-02 09:48:33.000,3.01,15.17,14.78,16.63
2020-06-02 09:48:36.000,3.01,15.17,14.78,16.63
2020-06-02 09:48:39.000,3.01,15.17,14.78,16.63
2020-06-02 09:48:42.000,3.0,15.17,14.78,16.63
2020-06-02 09:48:45.000,3.0,15.17,14.78,16.63
2020-06-02 09:48:48.000,3.0,15.17,14.78,16.63
2020-06-02 09:48:51.000,3.01,15.17,14.72,16.63
2020-06-02 09:48:54.000,3.01,15.17,14.72,16.63
2020-06-02 09:48:57.000,3.01,15.17,14.72,16.63
2020-06-02 09:49:00.000,3.01,15.17,14.72,16.63
2020-06-02 09:49:03.000,3.01,15.17,14.72,16.63
2020-06-02 09:49:06.000,3.01,15.17,14.72,16.63
2020-06-02 09:49:09.000,3.01,15.17,14.72,16.63
2020-06-02 09:49:12.000,3.01,15.17,14.72,16.63
